id,tweet,new_tweet,user_mentions,n_hash_tags,n_urls,n_emojis,subtask_a,subtask_b,subtask_c,original_tweet_length,new_tweet_length
28195,@USER @USER @USER gun control! That is all these kids are asking for!,gun control kid ask for,3,0,0,0,OFF,TIN,OTH,13,5
56117,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,lol throw bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready,4,4,1,0,OFF,TIN,IND,17,9
67757,@USER @USER You are correct.,you correct,2,0,0,0,NOT,,,5,2
12681,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,kind like conservatives wan na associate everyone their leave communist antifa members,2,0,0,0,OFF,TIN,GRP,17,12
82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,da fuck go people there s men s room women s room pick one stick w it,2,0,0,1,OFF,TIN,GRP,23,17
63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,willie fan since you bear love he hold rally beto exactly fan furious could you give specifics,1,0,1,0,NOT,,,31,17
77665,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,tbh days i not like people general i not connect people days annoyance,1,0,0,0,OFF,TIN,IND,22,13
83484,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",south korean official leaders discuss specific denuke measure pyongyang tcot maga rednationrising,0,3,1,0,NOT,,,15,12
74932,@USER @USER You can tell he is a hooper too,you tell he hooper,2,0,0,0,NOT,,,10,4
91252,@USER I feel like he is better chasing the title,i feel like he better chase title,1,0,0,0,NOT,,,10,7
25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,she you refer to hillary you know tiresome bernie supporters bash hillary clinton she actual democrat raise money democratic party not bash them she positive message divide leave,3,0,0,0,OFF,UNT,,48,28
81613,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,glad see your friends support metis right much you support zionists,1,0,1,0,NOT,,,18,11
82333,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,yes you i ask it movie,1,0,0,1,NOT,,,15,6
12609,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,thing democrats lie stall stop trump president they do you lately trump kavanaugh maga demsuck,0,5,0,0,OFF,TIN,GRP,27,15
13017,@USER No wonder he is being apologetic and more social these day....,no wonder he apologetic social day,1,0,0,0,NOT,,,12,6
18129,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL,update end your blatant racism windrush amp grenfell prove you alloutpolitics politicslive pmqs,6,6,1,0,NOT,,,24,13
70380,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.,you know go happen now i go lay bed cry i listen kelly clarkson thank free speech antifa,11,0,0,0,NOT,,,39,18
12108,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,you not smart you you think gen flynn sentence keep reschedule,50,0,1,0,OFF,TIN,IND,68,11
14726,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,that s expect you placate violent leftists terrorists kavanaughconfirmation wake,3,2,0,1,OFF,TIN,GRP,13,10
74358,@USER Blow hard,blow hard,1,0,0,0,NOT,,,3,2
82599,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,mean you max lvl twitter maybe try new game,3,0,0,0,NOT,,,19,9
40212,"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be.""",please explain control opposition mean bernier escape he split rest conservatives he s even racist exclusionary they want be,2,0,0,0,NOT,,,32,19
78367,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,socialists politics stand downtrodden well do conflate criticism israel anti semitism you also part problem,5,0,0,0,NOT,,,31,15
66596,3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.,3 nina one reason i not read book long i worry her character i trust everyone nina goddamn goddess i would die thousand time over she big bold lovely perfect her arc be perfect,0,0,0,0,NOT,,,53,34
70999,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh,please vote no kavanaugh he not fit scotus allegations women shady financials disqualify him ruleoflaw matter metoo countryoverparty withdrawkavanaugh stopkavanaugh,5,5,0,0,NOT,,,32,20
36026,"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me""",ppl say i m not racist racist you racist repeat me,2,0,0,0,NOT,,,17,11
29439,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀,kathy patriot you love our great president trump spine u s steel change it trade amp everything americans americafirst usa maga leadership amp respect economy job peacethrustrength god bless trump amp theusa,1,12,0,4,NOT,,,42,32
74477,@USER Wow you liberals really don’t have a sense of humor.🙄,wow you liberals really not sense humor,1,0,0,1,NOT,,,11,7
49845,@USER I'M SO FUCKING READY,i m fuck ready,1,0,0,0,NOT,,,5,4
32305,@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic,holy moly catholic people not awaken falseprophet lunatic,1,2,0,0,NOT,,,15,8
77243,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,lol yeah per dina he everyday per claudia no horse get vet care unless it donation example limp etc,1,0,0,0,NOT,,,24,19
73205,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.,surprise antifa blm on soros americas worst enemy history he believe way take usa withing hes right it s not gunna happen,3,0,0,0,NOT,,,44,22
47311,@USER Me too! Her wedding was the best! She is very pretty!,me too her wed best she pretty,1,0,0,0,NOT,,,12,7
48553,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.,no conflict here don not look this soros involve violent leave agenda antifa also,2,1,0,1,NOT,,,17,14
75689,@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes,your announcements every come fruition it basically steal labour s ideas get vote,3,0,1,0,NOT,,,25,13
84102,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,4 10 british people basically full on racists 4 10 voters vote conservatives coincidence,0,0,0,0,OFF,TIN,GRP,20,14
10607,#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL,guncontrol advocate must stop fall themselves assure electorate they love horrific 2a,0,1,1,0,NOT,,,19,12
43913,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,hi there we love huge fan camila mend you be would it alright we use your tweet her our promotional material,2,0,0,0,NOT,,,30,21
98992,@USER Fuck off,fuck,1,0,0,0,OFF,TIN,IND,3,1
92056,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion,certainly weird view toward margaret sanger geonicidal philosophy abort minorities i would like know black population suffer share her opinion,1,0,0,0,NOT,,,29,20
33853,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",prison system fuck they still get away potentially murder intent prisoners die hurricane they louisiana like 500 inmates go miss,2,0,0,0,OFF,TIN,OTH,39,20
75215,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,she useless attempt right thing never follow through,2,0,0,0,OFF,TIN,IND,15,8
96218,#WalkAway liberals......Your party is POISON. URL,walkaway liberals your party poison,0,1,1,0,NOT,,,6,5
57013,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,grateful trump not dog white house he cruel man,1,0,0,0,OFF,TIN,IND,16,9
20883,@USER You are lying. Stick with the facts. We pay more than that now.,you lie stick facts we pay now,1,0,0,0,NOT,,,14,7
74831,@USER Trump kicks dem butt - its so fun.,trump kick dem butt its fun,1,0,0,0,OFF,TIN,IND,9,6
53264,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,he dumb dumber one president it s two one,3,0,0,0,OFF,TIN,IND,17,9
28204,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL,toxictory minister attempt expense 50 charity donation it s do toriesmustgo dissolvetheunion,3,3,1,1,NOT,,,17,12
42024,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,ur straight forword man i saw u dance dewwane ur talk free ky ap kitnay porrany ho industry mein i really like ur quality u even gather ur senior artist love manmarziyaan,1,1,0,3,NOT,,,43,32
84664,@USER And this from the clown that should be in prison?,clown prison,1,0,0,0,OFF,TIN,IND,11,2
54842,@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL,twitter silence alex jones retaliation him ask twitter jack question,8,0,1,0,NOT,,,22,10
48995,@USER Thats because you are an old man.,thats you old man,1,0,0,0,OFF,TIN,IND,8,4
47153,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,they obstructionists anti american pharisees ask them they run you get nothing maga,3,0,0,0,OFF,TIN,OTH,20,13
76826,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either..""",no you re not you re 2 represent alinskyite orwellian leftist tool amp fool view things like 99 9 marxists amp antifa similar 2u psst b4u use word fascist fascism go ahead amp read d souza s book big lie right u know squat either,2,0,0,0,NOT,,,46,45
27645,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",i remember somehow centrist antifa haters never quite seem bring themselves condemn things,1,0,0,0,NOT,,,20,13
64429,@USER I mean it worked for gun control right? URL,i mean it work gun control right,1,0,1,0,OFF,TIN,GRP,10,7
20943,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,i think last thing wh trump s mind april ryan she need stop flatter herself she s not important she think she be,1,0,0,0,NOT,,,30,23
78064,@USER Principled conservatives are #Hypocrickets,principled conservatives hypocrickets,1,1,0,0,NOT,,,5,3
14122,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa,not forget amp democrat back antifa,14,1,0,0,NOT,,,20,6
72353,@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️,she beautiful person teach value her kid teach them they royalty keep keep it go their head stay real,1,0,0,1,NOT,,,30,19
39051,@USER Bring out his Antifa criminal son to campaign for him,bring his antifa criminal son campaign him,1,0,0,0,NOT,,,11,7
54546,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.,i not watch not watch watch september 11th stories we come together stand shoulder shoulder make me proud even our issue yet people play damn game can not stand moment protest saturday,3,0,0,1,NOT,,,49,32
50759,A tear is made of 1% water and 99% feelings.,tear make 1 water 99 feel,0,0,0,0,NOT,,,10,6
75992,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL",trump address gun control represent nra i not let you down he say,2,0,1,0,NOT,,,18,13
45068,@USER She is drinking so much koolaid she’s bloated.,she drink much koolaid she bloat,1,0,0,0,OFF,TIN,IND,9,6
17259,@USER Holder needs to be prosecuted,holder need prosecute,1,0,0,0,NOT,,,6,3
95225,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!,but but players women women color,1,0,0,0,NOT,,,13,6
84667,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,institution let her tweet she behave she window licker,4,0,0,0,OFF,TIN,IND,18,9
14574,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,babysitting 3 kid people how old you think she be she three kid me dont get mad not get mad they not know they not know,0,0,0,0,NOT,,,26,26
23784,@USER well...? URL,well,1,0,1,0,NOT,,,3,1
93119,WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,wtc threat maga qanon wakeupamerica,1,3,1,0,OFF,TIN,IND,10,5
30115,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",it s easily digestible content there s no need nuance even understand story they show picture antifa get base level emotional response their content require order profitable,1,0,0,0,NOT,,,39,27
69281,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,try look plain old democrats liberals ones you not conversation with,2,0,0,0,NOT,,,20,11
15322,@USER Great news! Old moonbeam Just went into a coma! 😂,great news old moonbeam go coma,1,0,0,1,NOT,,,11,6
75089,@USER OMG HE IS SO EXTRA ILY,omg he extra ily,1,0,0,0,NOT,,,7,4
21379,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,please call trump he be a narcissistic sociopath,3,0,0,0,OFF,TIN,IND,13,8
43133,@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.,unfortunately america system like would call racist liberals believe exams racist minority group,2,0,0,0,NOT,,,21,13
52102,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!,i know she still alive but wonder her career railroad odd love her especially day,1,0,0,0,NOT,,,18,15
59537,@USER @USER Guy you are always present...bet why? Lol,guy you always present bet why lol,2,0,0,0,NOT,,,9,7
44209,@USER @USER what a baby! URL,baby,2,0,1,0,NOT,,,6,1
96664,@USER you are very persuasive fam,you persuasive fam,1,0,0,0,NOT,,,6,3
12559,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL,that s nothing new she go vote no anyway we vote no liberals november,1,0,1,0,NOT,,,19,14
61914,@USER Burt. A cool dude.,burt cool dude,1,0,0,0,NOT,,,5,3
32317,#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.,maga you trump follow me i follow back,0,2,0,0,NOT,,,15,8
94767,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,thank u i finally point i okay use heat it i happy,1,0,0,0,NOT,,,20,12
64835,@USER Kind of like what trump does all the time huh?,kind like trump time huh,1,0,0,0,NOT,,,11,5
41353,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,former antifa white house they not arrest her citizen they arrest someone explain me,1,0,0,0,NOT,,,25,14
52252,@USER Fuck em,fuck em,1,0,0,0,OFF,TIN,GRP,3,2
91001,@USER Good move....he is the big loser,good move he big loser,1,0,0,0,OFF,TIN,IND,7,5
18495,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce,let s get bottom this dm me your zipcode i ll check it out we your back we make sure you enjoy best tv offer asap nevinbruce,1,0,0,0,NOT,,,38,27
76680,@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.,record i know doug jones personally he sen bc we no credible choice he not next election,4,0,0,0,NOT,,,32,17
88013,@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.,president feel totally opposite cnn feel say cnn they liberals,1,0,0,0,NOT,,,20,10
66349,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",it s literally narrative par nazis punch antifa punch they two side coin noooooooo one group want exterminate deport poc jews want prevent them that comparison benefit fash,1,0,0,0,OFF,UNT,,51,28
80561,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,many dumb arguments gun control may dumbest common,2,0,0,0,OFF,TIN,IND,19,8
16052,@USER she is idk what's going on,she idk what s go,1,0,0,0,NOT,,,7,5
49996,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL,yall need chill he really abysmal 2nd half rizzo abysmal 1st half its baseball it happen he things he still need work yes power number drop yes he could bounce back anytime,2,0,1,0,NOT,,,49,32
77086,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!,dude you old lmao ps go pack go,1,0,0,0,NOT,,,10,8
10972,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.,that s trump supporters not even wear hat without abuse they meet animals leave attack them antifa branch communist socialist nazis democrat party,50,0,0,0,NOT,,,81,23
69160,@USER The laughs I’ve gotten from you are enough. 😌,laugh i get you enough,1,0,0,1,NOT,,,10,5
28380,@USER @USER @USER well?,well,3,0,0,0,NOT,,,4,1
40252,@USER @USER @USER First of all— they don’t even have pizza at Panera,first all they not even pizza panera,3,0,0,1,NOT,,,13,7
39907,@USER @USER @USER please don't kill me. antifa on the other hand...,please not kill me antifa hand,3,0,0,0,OFF,TIN,IND,12,6
16164,@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.,you see shanahan say spoon not 100 healthy game obviously no excuse you maybe it not all doom sort thing it seem game maybe he still pretty good,1,0,0,0,NOT,,,42,28
52824,@USER Good girl @USER,good girl,2,0,0,0,NOT,,,4,2
77294,@USER @USER She is an ugly black hearted troll URL,she ugly black hearted troll,2,0,1,0,OFF,TIN,IND,10,5
13420,@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.,you clearly not pokemon master i almost 400 rare candy alone 150 legacy moveset pokemon it depend you like keep collection piece you value game,3,0,0,0,NOT,,,43,25
16940,@USER Dont believe the hype.,dont believe hype,1,0,0,0,OFF,UNT,,5,3
83816,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.,follow new maga please follow back,13,0,0,0,NOT,,,21,6
99156,#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL,protest report sunderland except football fan one flag say westbrom it get worse even i type maga mega mbga mcga conservatives patriots muslims farleft leftists doom lose not realise it civilwar soon,0,15,1,0,NOT,,,43,32
11255,"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.""""",liberals would still vote him they ll claim his comment take context he still man integrity,1,0,0,0,NOT,,,25,16
28841,@USER @USER We have been saved from you! MAGA!,we save you maga,2,0,0,0,OFF,TIN,IND,9,4
79060,@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.,you bring honor decency yoyo picture that s rich,1,0,0,0,NOT,,,16,9
71682,@USER Good riddance.,good riddance,1,0,0,0,NOT,,,3,2
17577,@USER She is a goddess,she goddess,1,0,0,0,NOT,,,5,2
27503,"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead""""",omg xd worst or best my case best cuase it make me laught part her ask he dead hurt poor thing rest standin like nope he no suffer so he dead yeah pretty dead,1,0,0,0,NOT,,,49,34
59998,"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.""",you probably imagine sjw snowflakes not feel safe work might conservatives lurk shadow conservatives ruskies 21st century,1,0,0,0,OFF,TIN,IND,32,17
81119,@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!,i see may light yourself even last election her not conservatives split come tory partyvery soon,2,0,0,0,NOT,,,31,16
28812,@USER This all I get 😢 damn these haters deleting you IG for no reason... URL,i get damn haters delete you ig no reason,1,0,1,1,OFF,TIN,GRP,16,9
84131,@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?,you think canadian liberals actually blame trudeau he cost them this per standard push it us,1,0,0,0,NOT,,,24,16
23179,@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.,you warn everyone josh gordon last 4 months daily basis i m sure you shock i transpire today,1,0,0,0,NOT,,,28,18
28601,@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL,not liberals read read it,3,0,1,0,NOT,,,11,5
64776,@USER SJSHSJ THATS MY JOB BITCH,sjshsj thats my job bitch,1,0,0,0,OFF,TIN,IND,6,5
95712,@USER Do they discuss Haiti?,they discuss haiti,1,0,0,0,NOT,,,5,3
69972,@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat,part no collusion not you get you dumocrat,3,0,0,0,OFF,TIN,IND,18,8
37115,@USER He is very skilled😂😂,he skilled,1,0,0,1,NOT,,,5,2
80696,@USER You are amazing 💛💛💛,you amaze,1,0,0,1,NOT,,,5,2
68163,@USER Fist pump was for the troops.,fist pump troop,1,0,0,0,NOT,,,7,3
96789,"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!""",reason farakans illegal value he black muslim would reason detest him i believe his illegal value simply result bad character like his supporters,1,0,0,0,OFF,TIN,GRP,38,23
68629,@USER Let the leftist democrats riot in the streets with their antifa counterparts.,let leftist democrats riot streets their antifa counterparts,1,0,0,0,OFF,TIN,IND,13,8
66109,@USER I thought Canada had strict gun control.  Help me understand what is happening.,i think canada strict gun control help me understand happen,1,0,0,0,NOT,,,14,10
