id,tweet,new_tweet,user_mentions,n_hash_tags,n_urls,n_emojis,subtask_a,subtask_b,subtask_c,new_tweet_length,original_tweet_length
99986,@USER Ya know how many ppl have pot in their homes?! So fukn what? The cops are trying to get their buddy off! She is a murderer!,ya know many ppl pot home fukn what cop try get buddy off murderer,1,0,0,0,OFF,TIN,IND,14,27
38764,@USER @USER The right has the unique ability to create monsters out of thin air. It Legislation was even created to fight the phantom menance of antifa--currently in committee.  URL,right unique ability create monsters thin air legislation even create fight phantom menance antifa currently committee,2,0,1,0,OFF,TIN,IND,16,30
89088,@USER He is way more creepier and says way more stupid things URL,way creepier say way stupid things,1,0,1,0,OFF,TIN,IND,6,13
65385,@USER And shit like this is why no real research gets done on us.,shit like no real research get do us,1,0,0,0,OFF,TIN,GRP,8,14
14067,@USER @USER  ERIC HOLDER IS A FILTHY MAGGOT. URL,eric holder filthy maggot,2,0,1,0,OFF,TIN,IND,4,9
39602,@USER And zero accomplishments,zero accomplishments,1,0,0,0,NOT,,,2,4
33109,@USER @USER @USER We are in this mess because people are stupid and lazy that's why the conservatives are in and she's screwing us over,mess people stupid lazy that s conservatives screw us,3,0,0,0,NOT,,,9,25
97612,@USER @USER The timing is too convenient. She is a paid liar.,time convenient pay liar,2,0,0,0,OFF,TIN,IND,4,12
66263,@USER YAY - AWESOME 🇺🇸♥️😎👈👍MAGA🇺🇸♥️🇺🇸RepPowerVote♥️🇺🇸strengthened by PowerPrayers🇺🇸👍Red Tsunami♥️,yay awesome maga reppowervote strengthen powerprayers red tsunami,1,0,0,5,NOT,,,8,8
77139,@USER I do but it can be done with out looking like a nazi bigot. We have to stay true to the people and change the minds of the left.. I know you aren’t a bigot I followed you for a reason and it’s because you post stuff that I like this one time I feel you are feeding the left the,do look like nazi bigot stay true people change mind leave know not bigot follow reason post stuff like one time feel fee leave,1,0,0,0,OFF,TIN,IND,24,62
15558,@USER Holy shit I love her???,holy shit love her,1,0,0,0,OFF,UNT,,4,6
91292,@USER Robyn I was gonna make vegan scones but I ran out of fucking time.  Blame my biochem lab,robyn gon na make vegan scones run fuck time blame biochem lab,1,0,0,0,OFF,TIN,OTH,12,19
26491,@USER @USER That would be Antifa!,would antifa,2,0,0,0,NOT,,,2,6
28636,"@USER @USER The conservatives &amp; evangelicals I'm sure, you know the Pro-Lifers""""",conservatives amp evangelicals i m sure know pro lifers,2,0,0,0,NOT,,,9,12
69259,@USER nigga say he a stretch big 💀,nigga say stretch big,1,0,0,1,NOT,,,4,8
32124,@USER Yes he is.,yes be,1,0,0,0,NOT,,,2,4
14037,@USER @USER @USER You are grossly misinterpreting who is against this. People across all parties condemn this action. Look no further than Bill Davis and Brian Mulroney to see that even conservatives think this is a horrible decision.,grossly misinterpret this people across party condemn action look no bill davis brian mulroney see even conservatives think horrible decision,3,0,0,0,NOT,,,20,38
54979,@USER Cockwaffle or normal waffle?,cockwaffle normal waffle,1,0,0,0,NOT,,,3,5
87004,#Tories #Labour #GE2017 #Conservatives Conservatives URL sajidjavid: Productive discussions with new Pakistan foreign and interior ministers in Islamabad today. Agreed to improve cooperation on anti-corruption &amp; counter-terrorism - v… URL,tories labour ge2017 conservatives conservatives sajidjavid productive discussions new pakistan foreign interior minister islamabad today agree improve cooperation anti corruption amp counter terrorism v,0,4,2,1,NOT,,,24,30
96002,@USER You still have not addressed your solution to make schools safer....you just preach more gun control...what are your solutions???,still not address solution make school safer you preach gun control what solutions,1,0,0,0,OFF,TIN,IND,13,20
31714,"@USER @USER How am I villifying him? He literally did have a 2 hour rant about imaginary bolsheviks and how women should just stop complaining. If you think that is no true wrong"", then well, I got news for you buddy: it means you are as shitty as he is.""",villifying him literally 2 hour rant imaginary bolsheviks women stop complain think no true wrong well get news buddy mean shitty be,2,0,0,0,OFF,TIN,IND,22,50
71376,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Follow everyone on this tweet. We have to fight Twitter AND the Democrats!,follow everyone tweet fight twitter democrats,21,0,0,0,NOT,,,6,34
51713,@USER Democrats soft on crime soft on border security. Since we can’t use Illegal Aliens. I will now call them CRIMINAL Aliens,democrats soft crime soft border security since not use illegal alien call criminal alien,1,0,0,0,NOT,,,14,22
51766,@USER many thanks to Karel in banquet services - he is treating our ONA student newsroom team sooooo well. We really appreciate the whole team!,many thank karel banquet service treat ona student newsroom team sooooo well really appreciate whole team,1,0,0,0,NOT,,,16,25
17891,@USER BUT MR. JOHN KERRY POTUS IS GETTING THE JOB DONE IN SPITE OF DEMOCRATS LIKE YOU WHO GROVELED TO THE IRANIAN MULLAH AND TRIED TO BUY HIM OFF WITH PALLETS OF CASH &amp; RELEASING FROZEN FUNDS! YOU &amp; OBAMA’S CROOKED DEAL HAS HELPED FUND TERRORISM WORLDWIDE! TAKE A WALK INTHE WOODS W/HRC,mr john kerry potus get job do spite democrats like grovel iranian mullah try buy pallets cash amp release freeze fund amp obama s crook deal help fund terrorism worldwide take walk inthe woods w hrc,1,0,0,1,OFF,TIN,IND,36,53
27645,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",remember somehow centrist antifa haters never quite seem bring condemn things,1,0,0,0,NOT,,,11,20
49311,@USER @USER Her terms!? WTH She's running the show now so Kavanaugh's confirmation hearing is being delayed as the liberals want. Something is not right.🤔🤨,term wth run show kavanaugh s confirmation hear delay liberals want something not right,2,0,0,1,NOT,,,14,25
74440,"@USER I love how the anti-gun-control folks are simultaneously you can't blame the guns when people die"" but also ""you can't blame the cops when guns just go off"".""",love anti gun control folks simultaneously not blame gun people die also you not blame cop gun go off,1,0,0,0,NOT,,,19,29
23935,@USER She is such a beautiful soul. My heart aches for the loss of her babies- but am so happy for her and her rainbow baby. ❤️,beautiful soul heart ache loss baby happy rainbow baby,1,0,0,1,NOT,,,9,27
44803,@USER I lived through the era where conservatives literally tried to argue that gay rights would cause the collapse of Western Civilization. No exaggeration.  They used he fall of Rome as their example somehow.  They now want to pretend that they didn’t vilify us.  Ugh.,live era conservatives literally try argue gay right would cause collapse western civilization no exaggeration use fall rome example somehow want pretend not vilify us ugh,1,0,0,0,OFF,TIN,IND,26,45
73829,"@USER Scary movies are terrible, I get jumpy and end up crying when something pops up.""  She didn't mind going out, if that is what he wants to do she is completely okay with it. Maybe a night out would be good for them.  ""I am a pro ice cream eater. I used to eat it daily.""""",scary movies terrible get jumpy end cry something pop up not mind go out want completely okay it maybe night would good them i pro ice cream eater use eat daily,1,0,0,0,NOT,,,31,57
96139,@USER You are TRIPPIN. Stop jumping to conclusions.,trippin stop jump conclusions,1,0,0,0,OFF,TIN,IND,4,8
29510,@USER Look in the mirror lefties!  No bigger bullies than antifa and progressive leftist trying to “get in the faces” of the right,look mirror lefties no bigger bully antifa progressive leftist try get face right,1,0,0,0,OFF,TIN,GRP,13,23
19083,"#politicsLive Unfortunately the @USER are still discussing what it"" is! Wasted 2 years so far! Perhaps because the idea is not viable? #JustAThought URL",politicslive unfortunately still discuss it be waste 2 years far perhaps idea not viable justathought,1,2,1,0,NOT,,,15,24
61549,"@USER @USER Because you have paranoid and always spam OMG SHE IS 16 SHE IS 16 SHE IS 16 SHE IS 16"" And you spam to everyone that SHE IS 16 and Credit Telltale in your every posts. It's so fucking funny for me. Chill out. No one cares that she's 16.""",paranoid always spam omg 16 16 16 16 spam everyone 16 credit telltale every post fuck funny me chill out no one care 16,2,0,0,0,OFF,TIN,IND,24,52
67634,@USER currently URL,currently,1,0,1,0,NOT,,,1,3
60107,@USER Fake News,fake news,1,0,0,0,OFF,UNT,,2,3
28887,@USER But partisan moves are the daily norm for the likes of Mitch McConnell. Yet somehow he still hangs on to his job and has the respect of conservatives across the country. This is why women are so afraid to stand up and say they were assaulted. We are part of the problem.,partisan move daily norm like mitch mcconnell yet somehow still hang job respect conservatives across country women afraid stand say assault part problem,1,0,0,0,NOT,,,23,53
40430,@USER she is uncultured,uncultured,1,0,0,0,OFF,TIN,IND,1,4
66244,@USER @USER @USER No way this woman was threatened and had to move out of her house because of conservatives or Republicans,no way woman threaten move house conservatives republicans,3,0,0,0,NOT,,,8,22
24555,@USER @USER You are devaluing everyone's opinion on the Independent article whom agrees with me by saying they are disgruntled students or bots. Just because they don't put Dr. In their Twitter name it doesn't mean they haven't done 'deeply important research' as you fondly put it.,devalue everyone s opinion independent article agree say disgruntle students bots not put dr twitter name not mean not do deeply important research fondly put it,2,0,0,0,OFF,TIN,GRP,26,47
88918,@USER is the brainchild of @USER - He is playing dirty against @USER and Jen is using her ill gotten money against @USER Mailer linking Nixon to anti-Semitism was approved by top Cuomo aides URL,brainchild play dirty jen use ill get money mailer link nixon anti semitism approve top cuomo aid,4,0,1,0,OFF,UNT,,17,35
99481,"Salesforce Billionaire Marc Benioff Buys Time for $190 Million""  URL #TCOT #MAGA #RedNationRising""",salesforce billionaire marc benioff buy time 190 million tcot maga rednationrising,0,3,1,0,NOT,,,11,13
60658,@USER @USER @USER She is a terrible person.,terrible person,3,0,0,0,OFF,TIN,IND,2,8
17307,@USER @USER @USER I have never understood why there are not more officers visibly supporting tighter gun control. It makes their job so much more dangerous with all these random people w/ their guns.,never understand not officer visibly support tighter gun control make job much dangerous random people w gun,3,0,0,1,NOT,,,17,34
15881,@USER @USER What are they sheep!  Can’t they speak for themselves with out that guy telling them what to say.  Speaking of Bots I think we found them!!! URL,sheep not speak guy tell say speak bots think find them,2,0,1,0,NOT,,,11,29
75124,"Gallup: Record-Low Percentage Cite Economy As Main US Concern""  URL #TCOT #MAGA #RedNationRising""",gallup record low percentage cite economy main us concern tcot maga rednationrising,0,3,1,0,NOT,,,12,13
19848,@USER my mom makes literally everyone. you are my true mother,mom make literally everyone true mother,1,0,0,0,NOT,,,6,11
43155,@USER *he screams and releases 20 gallons of cum with enough pressure to make at least 2 gallons squirt from his big brother's mouth*,he scream release 20 gallons cum enough pressure make least 2 gallons squirt big brother s mouth,1,0,0,0,NOT,,,17,24
